Paper,Flow_Scheduling,Orchestration,Multipath,Network_Optimization,DRL,LLM,Agent,Multi_Agent,RAG,Tool_Calling,Fine_Tuning,LoRA,QLoRA,Pruning,Quantization,Distillation,O_RAN,5G_Core,6G,Network_Slicing,Closed_Loop,Testbed,Simulator,Benchmark,Open_Code,Main_Metric,Main_Limitation
TeleCom-Bench: How Far Are Large Language Models from Industrial Telecommunication Applications?,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Per-task accuracy, including a reported 'universal Execution Wall': about 90% on linguistic interface tasks versus about 30% on procedural execution",KDD 2026 benchmark built from operator trajectories with a partially closed dataset; scores task-level correctness rather than resulting network service quality.
Cross-Domain Orchestration with Multi-Agent LLM Framework for Enhanced Task Automation,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Task automation success,Retrieved at metadata level only in this session; the extent to which orchestration actions are executed on real infrastructure versus simulated is not verified.
LLM-Powered Intent-Driven Configuration Generation for Multi-Vendor Networks,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Configuration generation quality,"A method paper (IEEE TNSM 2026), not a benchmark; whether generated configuration was deployed and validated on live equipment is not verified in this session."
LLM-Based Optimization Algorithm Selection for High-Performance Networks Orchestration,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Solution quality / runtime of the selected solver,Retrieved at metadata level only; the amount of network-specific grounding in the algorithm-selection prompts is not verified.
From Topology to Troubleshooting: Evaluating Multimodal LLMs on Network Management,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Multimodal task accuracy,Evaluation study at a management-symposium venue; no execution against a network and no SLA scoring.
"Small Models, Big Impact: Tool-Augmented AI Agents for Wireless Network Planning",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Planning quality versus larger models,"Magazine article on planning, not operations; planning is offline so latency constraints are relaxed relative to closed-loop control."
LoRA: Low-Rank Adaptation of Large Language Models,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ORANSight-2.0: Foundational LLMs for O-RAN,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,NA,"Benchmarks are domain QA/code benchmarks, NOT network KPIs or closed-loop RAN control. 'Foundational LLMs' means domain-adapted general LLMs. IMPORTANT: bibliographic data confirmed via Crossref; the technical figures (RTX 4090, RANSTRUCT size, accuracy deltas) came from a parallel full-text verification pass and should be treated as single-source until the PDF is checked directly."
MERLOT: A Distilled LLM-based Mixture-of-Experts Framework for Network Traffic Classification,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,NA,"Loses on 2 of 10 datasets - compression is not uniformly lossless. No training hardware, no absolute latency, no compressed size in MB. Workshop paper, 5 pages."
Distilling Large Language Models for Network Active Queue Management,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,NA,NO COMPRESSION PERFORMED. 39 ms latency far above packet-processing budgets (sub-millisecond is future work). >20 h training for a marginal accuracy gain over much smaller models (97.56% vs 82-83%) is a poor cost/benefit trade the paper does not analyse.
SQLLM: A Secure and Quantized Framework for Large Language Models in 5G Private Network Operations,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,"VERIFICATION GAP - abstract-level only (full text paywalled). NOTE: the HKUST Pure portal lists this under 'Department of Civil and Environmental Engineering', likely a portal indexing artifact - do not cite as an affiliation. Task is attack/anomaly classification of queries, not network configuration or closed-loop control."
Toward 6G Edge Intelligence: Lightweight LLMs for Intent-Driven Network Management,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,"Only the institutional-repository abstract was retrievable; full experimental detail (hardware, model size, dataset size, latency distributions) is behind the IEEE paywall. BEST AVAILABLE EVIDENCE for distillation in this corpus (60% latency reduction at 95% accuracy, IEEE TMC)."
xApp distillation: AI-based conflict mitigation in B5G O-RAN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,NA,"VERIFICATION GAP - bibliographic data confirmed but not the numbers. Distils xApp CONTROL POLICIES, not LLMs - relevant as evidence that distillation is used for RAN control, but it is not LLM compression."
5G INSTRUCT Forge: An Advanced Data Engineering Pipeline for Making LLMs Learn 5G,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"The MMLU trade-off is severe and implicit: pushing trainable parameters beyond ~11% causes catastrophic forgetting (MMLU 14.74 at 17%). Hyperparameters tuned per model. No latency, no compression."
SafeCOMM: A Study on Safety Degradation in Fine-Tuned Telecom Large Language Models,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,"A safety paper, not a compression paper - but highly citable for a limitations/risk section, and it directly implicates the Tele-LLMs recipe as unsafe."
NetKD: Towards Resource-Efficient Encrypted Traffic Classification Using Knowledge Distillation for Language Models,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA
"TelcoLM: collecting data, adapting, and benchmarking language models for the telecom domain",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,Preprint and exact result tables not verified. The actionable claim (DAPT is unnecessary if IAPT is done well) directly contradicts the TelecomGPT three-stage recipe and deserves explicit comparison.
A Survey on Model Compression for Large Language Models,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
LLM-Pruner: On the Structural Pruning of Large Language Models,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Pruned Traffic Trees: Native Semantic Compression with a Protocol-Structured Model Family for Encrypted Traffic Classification,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,NA,"Preprint under review (INFOCOM 2027), not peer-reviewed. The compressed model is a purpose-built protocol-structured architecture, NOT an LLM - transferability to LLM compression is an open question."
"Harnessing the Power of LLMs, Informers and Decision Transformers for Intent-driven and Energy-efficient Network Slicing",0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,NA,"No base-model identification, no hardware, no dataset size, no latency - not reproducible as published. Simulation-based, not a live network. Preprint."
Leveraging Multi-Agent System (MAS) and Fine-Tuned Small Language Models for Telecom Network Troubleshooting,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"Proprietary dataset, no public code. Rewards are LLM/RAGAS-judged rather than ground-truth-labelled. The '6x faster / +10% accuracy' is vs human engineers, not vs an automated baseline. Preprint."
Edge-Deployable LLM Fine-Tuning on a Single GPU for Telecom Network Troubleshooting,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,"A profiling/characterisation study, not a quality study - reports memory/time envelopes and reward trajectories rather than network-decision accuracy. Preprint, 6 pages."
LLM-Based Emulation of the Radio Resource Control Layer: Towards AI-Native RAN Protocols,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,NA,"Proprietary dataset, not reproducible. Latency in the 1-3.6 second range is far above real RRC control-plane budgets; sub-100 ms is explicitly framed as future work. Preprint."
Network Self-Configuration Based on Fine-Tuned Small Language Models,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,VERIFICATION GAP - IEEE Xplore returned HTTP 502 throughout the research window. Bibliographic data confirmed via Crossref; all experimental detail unverified. High-relevance candidate: retrieve full text directly.
"Lightweight LLMs for 3GPP Specifications: Fine-Tuning, Retrieval-Augmented Generation and Quantization",0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,"Abstract-level verification only; numeric results and hardware not confirmed. Task is telecom QA (3GPP standards comprehension), not network management decisions. NOTE: this is the only peer-reviewed paper found at a target venue (IEEE NetSoft) combining quantization + fine-tuning + RAG for telecom - full-text retrieval is a priority."
Toward Autonomous O-RAN: A Multi-Scale Agentic AI Framework for Real-Time Network Control,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,NA,"Proof-of-concept on one live testbed; no fine-tuning hyperparameters, no model parameter counts, no training hardware for the SLM itself. The RT dApp API and RT RIC are not yet standardised in O-RAN, so the architecture is provisional. Preprint."
"Telecom Foundation Models: Applications, Challenges, and Future Trends",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,No experiments. Useful only for motivation/framing and citation-chaining.
"Think Less, Label Better: Multi-Stage Domain-Grounded Synthetic Data Generation for Telecom Troubleshooting",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"A data-generation paper, not a compression or decision-quality paper. Relevant as the dataset provenance for the Ericsson MAS and edge-profiling papers. Verification is abstract-level only."
Understanding Telecom Language Through Large Language Models,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Identified constraint: accuracy depends strongly on working-group combination and on text-segment length. DistilBERT is a comparison point, not a compression result produced by the authors. Earliest telecom LLM fine-tuning recipe found (2023)."
SPEC5G: A Dataset for 5G Cellular Network Protocol Analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,VERIFICATION GAP - only the Crossref record was retrieved. Include as a dataset citation only.
TelecomGPT-R1: A Unified Open-Source Reasoner for the Telecom Domain,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,"Preprint. Direct follow-up to TelecomGPT by an overlapping author group, moving from QLoRA-SFT to RL post-training. Evaluated on the GSMA leaderboard (knowledge/reasoning), NOT on network KPIs."
"Advanced End-to-End Intent-Driven Dynamic Network Slicing: Challenges, Solutions, and Implementation",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,Retrieved at metadata level in this session; experimental depth not verified.
NRflex: Enforcing network slicing in 5G New Radio,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,PRB consumption and QoS satisfaction,Rule-based control law; RAN-only; accepted-manuscript version read
Power Consumption-Aware 5G Edge UPF Selection using Deep Reinforcement Learning,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,Power consumption subject to QoS,Selection only; simulation; no slice/SLA-level objective
Dynamic Energy-Efficient User Plane Function Selection in 5G Networks,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Energy saving versus static deployment,Prediction-based selection only
Satisfying Network Slicing Constraints via 5G MAC Scheduling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Slice constraint satisfaction and spectral efficiency,Closed access; MAC-layer scope
On Deep Reinforcement Learning for Traffic Steering Intelligent O-RAN,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Steering performance versus heuristics,Non-RT placement; workshop scale
Federated Meta-Learning for Traffic Steering in O-RAN,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Steering performance per agent,Preprint read; signalling cost not evaluated
LEARNET: Reinforcement Learning Based Flow Scheduling for Asynchronous Deterministic Networks,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Revenue subject to delay constraints,Single baseline; RL algorithm unnamed
LiveStream Meta-DAMS: Multipath Scheduler Using Hybrid Meta Reinforcement Learning,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Streaming quality versus benchmarks,Abstract only; ambiguous publication year
User Plane Function (UPF) Allocation for C-V2X Network Using Deep Reinforcement Learning,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Average latency versus greedy baselines,Does not beat the strongest greedy baseline
Scaling UPF Instances in 5G/6G Core With Deep Reinforcement Learning,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Pod count (resource saving) versus HPA,Only HPA as a baseline
BEMA: A bandwidth-efficient multipath scheduling algorithm,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bandwidth efficiency,Abstract only; venue unresolved; commonly mis-cited as BEWARE
SATO: multipath scheduling (title and venue to be confirmed),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,Bibliographic record incomplete
Multipath TCP Meets Reinforcement Learning: A Novel Energy-Efficient Scheduling Approach in Heterogeneous Wireless Networks,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Energy efficiency,Abstract only; flow-level path-set action space
A Joint Flow Scheduling Scheme for the Uplink of 5G-TSN in Industrial Internet of Things Systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Uplink scheduling performance,Metadata-level verification only
